9708542746	1432	200	1632
9728542726	122	200	322
9728542756	123	0	123
9728542786	100	5435	5535
9728542787	431	200	631
9728542788	345	0	345
9738542704	354	4523	4877
9738542780	6456	200	6656
9738542781	456	200	656
9738542782	678	0	678
9748542705	645	200	845
9748542783	987	23123	24110
9748542784	100	200	300
9758542706	65	200	265
9758542766	5643	200	5843
9758542776	5435	543	5978
9758542785	1243	324	1567
9758542796	234	200	434
9768542716	534	231232	231766
9778542703	765	200	965
9788542702	243	200	443
9798542736	534	432423	432957
